HANDLE,REF,PLTG,OWNR,MP,ADRES,LOC,BLNK,LWSTPWR,TRFCCRCT,STLT,PWRFBR,UKNCM,UNKCM1,UNKCM2,CATV,CATV1,UNKCM3,UKNCM4,TELCO,TELCO1,TELCO2,TELCO3,UKN,UKN1,COMNTS,TYPE
163,,53DB/1-33,OEC,,,,,neu 26,,,,,,,21 5,,,,,,,,,,,JNTPL
164,,53DA/2-3,OEC,,,,,neu 25 1,,,,,,,20 11,,,,,,,,,,,JNTPL
165,,53DA/2-2,OEC,,,,,neu 25 3,,,,,,,20 9,,,,,,,,,,,JNTPL
166,,53DA/2-5,OEC,,41573,,,dL 26 6,,,,,,,20 7,,,,,,,,,,,JNTTRANS
167,,53DA/2-4,OEC,,41573,,,neu 29 1,,,,,,,21 1,,,,,,,,,,,JNTTRANS
168,,53DA/2-9,OEC,,418,,,dL 24 7,,,,,,,20 5,,,,,,,,,,,JNTTRANS
169,,53DA/2A-1,OEC,,e of park dr,,neu 22 11,sec dL 21 8,,,,,,,19 8,,,,,,,,,,,JNTPL
170,,53DA/2-8,OEC,,428,,neu 23 2,ror dL 20 4,,,,,,,20,,,,,,,,,,,JNTPL
171,,53DA/2-7,OEC,,434,,,dL 23 10,,18 6,,,,,20 11,,,,,,,,,,,JNTTRANS
172,,53DA/2-6,OEC,,,,,neu 24 10,,,,,,,20 10,,,,,,,,,,,JNTPL
178,,1253,WMU,,,,dL are cut from trans,neu 29 3,,,,,22 7,21 11,,,,,21 6,,,,,,riser down,JNTTRANS
179,,0763,WMU,,279 n main,nw crnr elm and rt 58,,neu 27 1,,dL 24 10,24 5,,,,22 1,,,,21 2,20 7,,,,,tie point 1Cm not there,JNTPL
180,,0756,WMU,,rite aid,sw crnr elm and rt 58,,neu 29,,,26 6,,,,24 1,23,,,21 10,,,,,,,JNTPL
182,,0748,WMU,,rite aid,,,neu 29,,,24 10,,,,23,,,,21 9,,,,,,,JNTPL
183,,0743,WMU,,,,,dL 27,,25 8,24 7,,,,22 8,,,,21 5,,,,,,Plank s,JNTTRANS
185,,NT,WMU,,s of Kelly St,,,neu 33 5,,,27 3,,,,24 3,,,,22 6,,,,,,plank s,JNTPL
186,,0644,WMU,,s of Kelly St,,,neu 29 10,,,26 9,,,,19 6,,,,,,,,,,,JNTPL
187,,0642,WMU,,217 Kelly St,,,neu 26 1,,,24 1,,,,21 9,,,,,,,,,,plank e,JNTPL
188,,0641,WMU,,217 Kelly St,,,sec 25 4,,24 2,23 6,,,,21 10,,,,20 3,19 11,19 4,,,,,JNTPL
189,,0638,WMU,,201 Kelly St,,,sec dL 27 6,,,,,,,20 4,,,,17 3,,,,,,,JNTPL
190,,0637,WMU,,201 Kelly St,,,dL 28 5,,dL 27 9,,,,,20,,,,17 4,,,,,,,JNTTRANS
