HANDLE,BLNK,LWSTPWR,TRFCCRCT,STLT,PWRFBR,UKNCM,UNKCM1,UNKCM2,CATV,CATV1,UNKCM3,UKNCM4,TELCO,TELCO1,TELCO2,TELCO3,UKN,UKN1,COMNTS,TYPE
'40C,,n 26,,,,,,,22 1,,,,20 10,,,,,,,JNTPL
'444,,n 32,,,,,,,25 3,,,,24 2,,,,,,,JNTPL
'460,,n 29 1,,,,,,,22 4,,,,21 1,,,,,,,JNTPL
'498,n 25 7,tdl 23 6,,,,,,,22 1,,,,20 11,,,,,,,JNTPL
'4D0,,n 29 1,,,,,,,22 6,,,,20 6,,,,,,,JNTPL
'4EC,n 25 10,tdl 24 5,,,,,,,20 8,,,,19 7,,,,,,,JNTTRANS
'524,,n 26 9,,,,,,,21 10,,,,20 5,,,,,,,JNTPL
'540,,n 27 11,,,,,,,21 10,,,,20 8,,,,,,,JNTPL
'578,n 27 8,tdl 26 6,,,,,,,22,,,,20 11,,,,,,,JNTTRANS
'5B0,,n \ sec 25 9,,,,,,,21 10,,,,20 8,,,,,,,JNTTRANS
'5CC,n \ sec 25 1,tdl 23 9,,,,,,,19 5,,,,18 4,,,,,,,JNTTRANS
'604,,n 28 1,,,,,,,21 9,,,,20 8,,,,,,,JNTPL
'620,,n 25 7,,,,,,,22 1,,,,20 1,,,,,,,JNTPL
'658,n 27 2,tdl 25 8,,,,,,,22 1,,,,20 10,,,,,,,JNTTRANS
'674,,n 27 5,,,,,,,21 3,,,,21 2,,,,,,,JNTPL
'6AC,,n 26 8,,,,,,,22 3,,,,21 1,,,,,,,JNTPL
'6C8,n 25 11,tdl 24 6,,dl 23 10,,,,,21 8,,,,20 7,,,,,,,JNTTRANS
'6E4,n 24 11,tdl 23 11,,,,,,,20 10,,,,19 10,,,,,,,JNTTRANS
'71C,,n 26 1,,,,,,,22 3,,,,21 3,,,,,,,JNTPL
'738,,n 29 6,,27 1,,,,,22 8,,,,21 9,,,,,,,JNTTRANS
